system:index,binary_class,count,original_class,original_name,subset,year,.geo
1_1_0,1,75,0,Air/Wetland,all_samples,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1,0,75,1,Vegetasi,all_samples,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_2,0,75,2,Area Terbangun,all_samples,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_3,0,75,3,Lahan Terbuka/Kering,all_samples,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_4,1,75,0,Air/Wetland,all_samples,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_5,0,75,1,Vegetasi,all_samples,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_6,0,75,2,Area Terbangun,all_samples,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_7,0,75,3,Lahan Terbuka/Kering,all_samples,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_0,1,52,0,Air/Wetland,training_70_percent,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_1,0,52,1,Vegetasi,training_70_percent,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_2,0,52,2,Area Terbangun,training_70_percent,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_3,0,52,3,Lahan Terbuka/Kering,training_70_percent,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_4,1,52,0,Air/Wetland,training_70_percent,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_5,0,52,1,Vegetasi,training_70_percent,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_6,0,52,2,Area Terbangun,training_70_percent,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2_7,0,52,3,Lahan Terbuka/Kering,training_70_percent,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,1,23,0,Air/Wetland,testing_30_percent,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,0,23,1,Vegetasi,testing_30_percent,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,0,23,2,Area Terbangun,testing_30_percent,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,0,23,3,Lahan Terbuka/Kering,testing_30_percent,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4,1,23,0,Air/Wetland,testing_30_percent,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5,0,23,1,Vegetasi,testing_30_percent,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_6,0,23,2,Area Terbangun,testing_30_percent,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_7,0,23,3,Lahan Terbuka/Kering,testing_30_percent,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
